n    array                                                                  | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq  Bitwise
8    [7, 6, 5, 4, 3, 2, 1, 0]                                               |         -1         -1         -1         -1         -1         -1         -1         -1
8    [0, 1, 2, 3, 4, 6, 5, 7]                                               |         -1         -1         -1         -1         -1         -1         -1         -1
8    [10, 1, 10, 3, 10, 5, 10, 7]                                           |         -1         -1         -1         -1         -1         -1         -1         -1
8    [10, 10, 10, 10, 10, 11, 12, 13]                                       |         10         10         10         10         10         10         10         10
8    [10, 10, 10, 10, 10, 16, 10, 10]                                       |         10         10         10         10         10         10         10         10
8    [27, 75, 59, 24, 29, 70, 49, 69]                                       |         -1         -1         -1         -1         -1         -1         -1         -1
8    [158, 9, 9, 9, 9, 143, 9, 80]                                          |          9          9          9          9          9          9          9          9
8    [9, 9, 9, 9, 9, 240, 241, 242]                                         |          9          9          9          9          9          9          9          9
8    [320, 321, 322, 9, 9, 9, 9, 9]                                         |          9          9          9          9          9          9          9          9
8    [4, 405, 402, 400, 403, 404, 406, 401]                                 |         -1         -1         -1         -1         -1         -1         -1         -1
8    [9, 9, 9, 9, 9, 9, 9, 9]                                               |          9          9          9          9          9          9          9          9
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
16   []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
16   [0]                                                                    |          0          0          0          0          0          0          0          0
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
16   [17, 17, 17, 19] ... [17, 17, 21, 17]                                  |         17         17         17         17         17         17         17         17
16   [17, 17, 17, 17] ... [17, 17, 17, 17]                                  |         17         17         17         17         17         17         17         17
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
16   [15, 14, 13, 12] ... [3, 2, 1, 0]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
16   [0, 1, 14, 3] ... [12, 13, 2, 15]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
16   [18, 1, 18, 3] ... [18, 13, 18, 15]                                    |         -1         -1         -1         -1         -1         -1         -1         -1
16   [18, 18, 18, 18] ... [26, 27, 28, 29]                                  |         18         18         18         18         18         18         18         18
16   [18, 18, 18, 18] ... [18, 18, 18, 18]                                  |         18         18         18         18         18         18         18         18
16   [134, 144, 64, 67] ... [138, 115, 83, 114]                             |         -1         -1         -1         -1         -1         -1         -1         -1
16   [17, 17, 17, 17] ... [310, 230, 215, 275]                              |         17         17         17         17         17         17         17         17
16   [17, 17, 17, 17] ... [483, 484, 485, 486]                              |         17         17         17         17         17         17         17         17
16   [640, 641, 642, 643] ... [17, 17, 17, 17]                              |         17         17         17         17         17         17         17         17
16   [8, 806, 813, 808] ... [814, 801, 804, 811]                            |         -1         -1         -1         -1         -1         -1         -1         -1
16   [17, 17, 17, 17] ... [17, 17, 17, 17]                                  |         17         17         17         17         17         17         17         17
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
32   []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
32   [0]                                                                    |          0          0          0          0          0          0          0          0
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
32   [33, 40, 33, 33] ... [35, 33, 41, 33]                                  |         33         33         33         33         33         33         33         33
32   [33, 33, 33, 33] ... [33, 33, 33, 33]                                  |         33         33         33         33         33         33         33         33
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
32   [31, 30, 29, 28] ... [3, 2, 1, 0]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
32   [0, 27, 2, 3] ... [28, 29, 30, 31]                                     |         -1         -1         -1         -1         -1         -1         -1         -1
32   [34, 1, 34, 3] ... [34, 29, 34, 31]                                    |         -1         -1         -1         -1         -1         -1         -1         -1
32   [34, 34, 34, 34] ... [58, 59, 60, 61]                                  |         34         34         34         34         34         34         34         34
32   [34, 65, 34, 34] ... [34, 34, 34, 34]                                  |         34         34         34         34         34         34         34         34
32   [126, 248, 209, 266] ... [167, 130, 157, 219]                          |         -1         -1         -1         -1         -1         -1         -1         -1
32   [33, 33, 33, 467] ... [503, 418, 33, 33]                               |         33         33         33         33         33         33         33         33
32   [33, 33, 33, 33] ... [971, 972, 973, 974]                              |         33         33         33         33         33         33         33         33
32   [1280, 1281, 1282, 1283] ... [33, 33, 33, 33]                          |         33         33         33         33         33         33         33         33
32   [16, 1607, 1615, 1605] ... [1630, 1628, 1626, 1625]                    |         -1         -1         -1         -1         -1         -1         -1         -1
32   [33, 33, 33, 33] ... [33, 33, 33, 33]                                  |         33         33         33         33         33         33         33         33
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
64   []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
64   [0]                                                                    |          0          0          0          0          0          0          0          0
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
64   [74, 65, 65, 65] ... [90, 85, 65, 65]                                  |         65         65         65         65         65         65         65         65
64   [65, 65, 65, 65] ... [65, 65, 65, 65]                                  |         65         65         65         65         65         65         65         65
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
64   [63, 62, 61, 60] ... [3, 2, 1, 0]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
64   [0, 1, 2, 3] ... [60, 14, 62, 63]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
64   [66, 1, 66, 3] ... [66, 61, 66, 63]                                    |         -1         -1         -1         -1         -1         -1         -1         -1
64   [66, 66, 66, 66] ... [122, 123, 124, 125]                              |         66         66         66         66         66         66         66         66
64   [66, 66, 66, 66] ... [66, 66, 66, 66]                                  |         66         66         66         66         66         66         66         66
64   [252, 446, 395, 323] ... [601, 235, 456, 636]                          |         -1         -1         -1         -1         -1         -1         -1         -1
64   [870, 1157, 65, 655] ... [1227, 718, 1254, 65]                         |         65         65         65         65         65         65         65         65
64   [65, 65, 65, 65] ... [1947, 1948, 1949, 1950]                          |         65         65         65         65         65         65         65         65
64   [2560, 2561, 2562, 2563] ... [65, 65, 65, 65]                          |         65         65         65         65         65         65         65         65
64   [32, 3211, 3205, 3217] ... [3231, 3261, 3249, 3250]                    |         -1         -1         -1         -1         -1         -1         -1         -1
64   [65, 65, 65, 65] ... [65, 65, 65, 65]                                  |         65         65         65         65         65         65         65         65
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
128  []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
128  [0]                                                                    |          0          0          0          0          0          0          0          0
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
128  [187, 128, 152, 129] ... [129, 129, 164, 129]                          |        129        129        129        129        129        129        129        129
128  [129, 129, 129, 129] ... [129, 129, 129, 129]                          |        129        129        129        129        129        129        129        129
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
128  [127, 126, 125, 124] ... [3, 2, 1, 0]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
128  [130, 1, 130, 3] ... [130, 125, 130, 127]                              |         -1         -1         -1         -1         -1         -1         -1         -1
128  [130, 130, 130, 130] ... [250, 251, 252, 253]                          |        130        130        130        130        130        130        130        130
128  [130, 130, 130, 130] ... [130, 130, 130, 130]                          |        130        130        130        130        130        130        130        130
128  [1128, 616, 528, 1153] ... [466, 598, 921, 738]                        |         -1         -1         -1         -1         -1         -1         -1         -1
128  [2267, 129, 129, 129] ... [129, 1594, 129, 129]                        |        129        129        129        129        129        129        129        129
128  [129, 129, 129, 129] ... [3899, 3900, 3901, 3902]                      |        129        129        129        129        129        129        129        129
128  [5120, 5121, 5122, 5123] ... [129, 129, 129, 129]                      |        129        129        129        129        129        129        129        129
128  [64, 6466, 6510, 6435] ... [6430, 6403, 6407, 6480]                    |         -1         -1         -1         -1         -1         -1         -1         -1
128  [129, 129, 129, 129] ... [129, 129, 129, 129]                          |        129        129        129        129        129        129        129        129
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
256  []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
256  [0]                                                                    |          0          0          0          0          0          0          0          0
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
256  [257, 302, 257, 323] ... [357, 349, 361, 257]                          |        257        257        257        257        257        257        257        257
256  [257, 257, 257, 257] ... [257, 257, 257, 257]                          |        257        257        257        257        257        257        257        257
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
256  [255, 254, 253, 252] ... [3, 2, 1, 0]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
256  [258, 1, 258, 3] ... [258, 253, 258, 255]                              |         -1         -1         -1         -1         -1         -1         -1         -1
256  [258, 258, 258, 258] ... [506, 507, 508, 509]                          |        258        258        258        258        258        258        258        258
256  [258, 258, 258, 258] ... [258, 258, 258, 514]                          |        258        258        258        258        258        258        258        258
256  [1248, 1543, 1477, 1567] ... [1651, 867, 1946, 2347]                   |         -1         -1         -1         -1         -1         -1         -1         -1
256  [257, 4387, 3934, 5102] ... [257, 2676, 257, 4034]                     |        257        257        257        257        257        257        257        257
256  [257, 257, 257, 257] ... [7803, 7804, 7805, 7806]                      |        257        257        257        257        257        257        257        257
256  [10240, 10241, 10242, 10243] ... [257, 257, 257, 257]                  |        257        257        257        257        257        257        257        257
256  [128, 12839, 12883, 12811] ... [12904, 13012, 12936, 12928]            |         -1         -1         -1         -1         -1         -1         -1         -1
256  [257, 257, 257, 257] ... [257, 257, 257, 257]                          |        257        257        257        257        257        257        257        257
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
512  []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
512  [0]                                                                    |          0          0          0          0          0          0          0          0
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
512  [569, 717, 764, 513] ... [513, 675, 747, 572]                          |        513        513        513        513        513        513        513        513
512  [513, 513, 513, 513] ... [513, 513, 513, 513]                          |        513        513        513        513        513        513        513        513
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
512  [511, 510, 509, 508] ... [3, 2, 1, 0]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
512  [514, 1, 514, 3] ... [514, 509, 514, 511]                              |         -1         -1         -1         -1         -1         -1         -1         -1
512  [514, 514, 514, 514] ... [1018, 1019, 1020, 1021]                      |        514        514        514        514        514        514        514        514
512  [514, 514, 514, 514] ... [514, 514, 514, 514]                          |        514        514        514        514        514        514        514        514
512  [2781, 3251, 4886, 3935] ... [3247, 4861, 3527, 3305]                  |         -1         -1         -1         -1         -1         -1         -1         -1
512  [513, 513, 6946, 513] ... [7923, 6075, 513, 513]                       |        513        513        513        513        513        513        513        513
512  [513, 513, 513, 513] ... [15611, 15612, 15613, 15614]                  |        513        513        513        513        513        513        513        513
512  [20480, 20481, 20482, 20483] ... [513, 513, 513, 513]                  |        513        513        513        513        513        513        513        513
512  [256, 25641, 25856, 25881] ... [26056, 25910, 25761, 25862]            |         -1         -1         -1         -1         -1         -1         -1         -1
512  [513, 513, 513, 513] ... [513, 513, 513, 513]                          |        513        513        513        513        513        513        513        513
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
1024 []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [0]                                                                    |          0          0          0          0          0          0          0          0
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [1025, 1240, 1025, 1025] ... [1025, 1399, 1100, 1025]                  |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [1025, 1025, 1025, 1025] ... [1025, 1025, 1025, 1025]                  |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [1023, 1022, 1021, 1020] ... [3, 2, 1, 0]                              |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [1026, 1, 1026, 3] ... [1026, 1021, 1026, 1023]                        |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [1026, 1026, 1026, 1026] ... [2042, 2043, 2044, 2045]                  |       1026       1026       1026       1026       1026       1026       1026       1026
1024 [1026, 1026, 1026, 1026] ... [1026, 1026, 1026, 1026]                  |       1026       1026       1026       1026       1026       1026       1026       1026
1024 [9320, 6598, 6260, 5342] ... [8133, 8140, 6572, 7731]                  |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [20350, 1025, 18556, 1025] ... [18681, 1025, 14392, 1025]              |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [1025, 1025, 1025, 1025] ... [31227, 31228, 31229, 31230]              |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [40960, 40961, 40962, 40963] ... [1025, 1025, 1025, 1025]              |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [512, 51430, 52210, 51386] ... [52103, 51354, 51905, 52096]            |         -1         -1         -1         -1         -1         -1         -1         -1
1024 [1025, 1025, 1025, 1025] ... [1025, 1025, 1025, 1025]                  |       1025       1025       1025       1025       1025       1025       1025       1025
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
2048 []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [0]                                                                    |          0          0          0          0          0          0          0          0
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2049, 2132, 2568, 2977] ... [2049, 2049, 2505, 2157]                  |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [2049, 2049, 2049, 2049] ... [2049, 2049, 2049, 2049]                  |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2047, 2046, 2045, 2044] ... [3, 2, 1, 0]                              |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2050, 1, 2050, 3] ... [2050, 2045, 2050, 2047]                        |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2050, 2050, 2050, 2050] ... [4090, 4091, 4092, 4093]                  |       2050       2050       2050       2050       2050       2050       2050       2050
2048 [4110, 2050, 2050, 2050] ... [2050, 2050, 2050, 2050]                  |       2050       2050       2050       2050       2050       2050       2050       2050
2048 [10003, 17841, 7572, 19187] ... [18794, 11140, 16522, 20438]           |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2049, 2049, 2049, 28987] ... [39698, 2049, 2049, 2049]                |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [2049, 2049, 2049, 2049] ... [62459, 62460, 62461, 62462]              |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [81920, 81921, 81922, 81923] ... [2049, 2049, 2049, 2049]              |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [1024, 103106, 103103, 104143] ... [102979, 103990, 103333, 104214]    |         -1         -1         -1         -1         -1         -1         -1         -1
2048 [2049, 2049, 2049, 2049] ... [2049, 2049, 2049, 2049]                  |       2049       2049       2049       2049       2049       2049       2049       2049
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
4096 []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [0]                                                                    |          0          0          0          0          0          0          0          0
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [5598, 4097, 5878, 6136] ... [4563, 6071, 4097, 4097]                  |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [4097, 4097, 4097, 4097] ... [4097, 4097, 4097, 4097]                  |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [4095, 4094, 4093, 4092] ... [3, 2, 1, 0]                              |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [0, 1, 2, 3] ... [4092, 2778, 4094, 4095]                              |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [4098, 1, 4098, 3] ... [4098, 4093, 4098, 4095]                        |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [4098, 4098, 4098, 4098] ... [8186, 8187, 8188, 8189]                  |       4098       4098       4098       4098       4098       4098       4098       4098
4096 [4098, 4098, 4098, 4098] ... [4098, 4098, 4098, 4098]                  |       4098       4098       4098       4098       4098       4098       4098       4098
4096 [33148, 39514, 39883, 35910] ... [40496, 20833, 33764, 18464]          |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [50637, 4097, 43412, 4097] ... [4097, 70248, 63580, 4097]              |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [4097, 4097, 4097, 4097] ... [124923, 124924, 124925, 124926]          |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [163840, 163841, 163842, 163843] ... [4097, 4097, 4097, 4097]          |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [2048, 207883, 205783, 205927] ... [205973, 208594, 206215, 207751]    |         -1         -1         -1         -1         -1         -1         -1         -1
4096 [4097, 4097, 4097, 4097] ... [4097, 4097, 4097, 4097]                  |       4097       4097       4097       4097       4097       4097       4097       4097
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
8192 []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [0]                                                                    |          0          0          0          0          0          0          0          0
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [8193, 9973, 10084, 8193] ... [9595, 8193, 8193, 8193]                 |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [8193, 8193, 8193, 8193] ... [8193, 8193, 8193, 8193]                  |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [8191, 8190, 8189, 8188] ... [3, 2, 1, 0]                              |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [8194, 1, 8194, 3] ... [8194, 8189, 8194, 8191]                        |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [8194, 8194, 8194, 8194] ... [16378, 16379, 16380, 16381]              |       8194       8194       8194       8194       8194       8194       8194       8194
8192 [8194, 16946, 8194, 8194] ... [8194, 8194, 8194, 8194]                 |       8194       8194       8194       8194       8194       8194       8194       8194
8192 [72055, 71630, 73017, 40173] ... [29060, 43073, 60732, 50521]          |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [132891, 8193, 148533, 8193] ... [8193, 163382, 8193, 8193]            |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [8193, 8193, 8193, 8193] ... [249851, 249852, 249853, 249854]          |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [327680, 327681, 327682, 327683] ... [8193, 8193, 8193, 8193]          |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [4096, 416389, 410968, 413045] ... [412262, 417767, 410188, 415101]    |         -1         -1         -1         -1         -1         -1         -1         -1
8192 [8193, 8193, 8193, 8193] ... [8193, 8193, 8193, 8193]                  |       8193       8193       8193       8193       8193       8193       8193       8193
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
16384 []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [0]                                                                    |          0          0          0          0          0          0          0          0
16384 [0, 1, 2, 3] ... [16380, 16381, 16382, 16383]                          |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [16385, 16441, 16385, 16647] ... [16385, 16385, 16385, 21482]          |      16385      16385      16385      16385      16385      16385      16385      16385
16384 [16385, 16385, 16385, 16385] ... [16385, 16385, 16385, 16385]          |      16385      16385      16385      16385      16385      16385      16385      16385
16384 [0, 1, 2, 3] ... [16380, 16381, 16382, 16383]                          |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [16383, 16382, 16381, 16380] ... [3, 2, 1, 0]                          |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [12997, 1648, 2, 3] ... [16380, 16381, 16382, 16383]                   |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [16386, 1, 16386, 3] ... [16386, 16381, 16386, 16383]                  |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [16386, 16386, 16386, 16386] ... [32762, 32763, 32764, 32765]          |      16386      16386      16386      16386      16386      16386      16386      16386
16384 [16386, 16386, 33936, 16386] ... [16386, 16386, 16386, 16386]          |      16386      16386      16386      16386      16386      16386      16386      16386
16384 [127130, 60934, 123302, 116921] ... [107711, 130981, 114321, 117347]   |         -1         -1         -1         -1         -1         -1         -1         -1
16384 [16385, 16385, 205851, 16385] ... [16385, 16385, 266597, 191005]       |      16385      16385      16385      16385      16385      16385      16385      16385
16384 [16385, 16385, 16385, 16385] ... [499707, 499708, 499709, 499710]      |      16385      16385      16385      16385      16385      16385      16385      16385
16384 [655360, 655361, 655362, 655363] ... [16385, 16385, 16385, 16385]      |      16385      16385      16385      16385      16385      16385      16385      16385
